horizon,day,slot,index,feature,coefficient,residual_sigma2,n_obs,ci_low,ci_high,ci_level,boot_se
2,1,2,60,A*E_w,-0.0035352616195314,0.006999106189993113,290,-0.021509809478959856,0.005208810485465112,0.95,0.00722423945036619
2,1,2,61,A*CAE_avg_lastweek,0.0028492593067012324,0.006999106189993113,290,-0.013445736759254468,0.019510721360662345,0.95,0.008547249911201515
2,1,2,62,A*weekday_vs_weekend,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,63,A*slot_pm,0.0034839696432184502,0.006999106189993113,290,-0.03237056645514289,0.05120473431296679,0.95,0.022601014077995057
2,1,2,64,A*weekday_vs_weekend*E_w,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,65,A*slot_pm*E_w,-0.003535261619531051,0.006999106189993113,290,-0.02150980947896068,0.005208810485467254,0.95,0.007224239450366125
2,1,2,66,A*weekday_vs_weekend*CAE_avg_lastweek,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,67,A*slot_pm*CAE_avg_lastweek,0.0028492593067012267,0.006999106189993113,290,-0.013445736759254546,0.01951072136066226,0.95,0.00854724991120151
2,1,2,68,A*yesterday_step_count,0.004064199771340754,0.006999106189993113,290,-0.02258194653097389,0.05060361838193612,0.95,0.018174402075223396
2,1,2,69,A*ema_step_count,0.014939470791374827,0.006999106189993113,290,-0.05202903493149537,0.08712635652128184,0.95,0.03413935562984388
2,1,2,70,A*prior2hour_step_count,-0.032695651503191196,0.006999106189993113,290,-0.07728036771818929,0.007185906199827983,0.95,0.021196318026516833
2,1,2,71,A*previous7days_rpa,-0.022896845174368942,0.006999106189993113,290,-0.11511925171801554,0.051054504555896225,0.95,0.0413556471317464
2,1,2,72,A*active_status_fraction_7days,-0.011254071154405245,0.006999106189993113,290,-0.08075512410970555,0.06876061318078174,0.95,0.03883851986085982
2,1,2,73,A*recent_burden,0.017870077310792997,0.006999106189993113,290,-0.008997024610238134,0.04467857943253292,0.95,0.013296291113998986
2,1,2,74,A*salience_yesterday,0.015592384566978874,0.006999106189993113,290,-0.023589710851748203,0.06405641421311122,0.95,0.021864519881597565
2,1,2,75,A*walk_interaction_7d,-0.05614812938236718,0.006999106189993113,290,-0.15135143938414544,0.01217824532508008,0.95,0.040501639144619815
3,2,1,0,intercept,0.023284776384999498,0.0008869836273941462,290,-0.011616857135992836,0.3615296817176236,0.95,0.09328348413506905
3,2,1,1,weekday_vs_weekend,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,2,slot_pm,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,3,E_w,-0.012453499423123291,0.0008869836273941462,290,-0.07887048921471591,0.04309107612676829,0.95,0.030181507888038927
3,2,1,4,weekday_vs_weekend*E_w,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,5,slot_pm*E_w,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,6,CAE_avg_lastweek,0.5710968524349872,0.0008869836273941462,290,0.3527055424947581,0.6973283616280496,0.95,0.08850897589159573
3,2,1,7,weekday_vs_weekend*CAE_avg_lastweek,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,8,slot_pm*CAE_avg_lastweek,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,9,M_Y_day1_fourSC_morning,-0.023570736621061412,0.0008869836273941462,290,-0.07964546454362861,0.04978546915501862,0.95,0.03310665056944104
3,2,1,10,M_Y_day1_fourSC_afternoon,-0.011063977900235939,0.0008869836273941462,290,-0.08359373895181657,0.0665493995941304,0.95,0.03747633034655
3,2,1,11,M_Y_day1_anticipated_affect,0.43819345616326244,0.0008869836273941462,290,0.2731703337438517,0.697055889399083,0.95,0.11156766882749262
3,2,1,12,M_Y_day2_fourSC_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,13,M_Y_day2_fourSC_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,14,M_Y_day2_anticipated_affect,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,15,M_Y_day3_fourSC_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,16,M_Y_day3_fourSC_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,17,M_Y_day3_anticipated_affect,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,18,M_Y_day4_fourSC_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,19,M_Y_day4_fourSC_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,20,M_Y_day4_anticipated_affect,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,21,M_Y_day5_fourSC_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,22,M_Y_day5_fourSC_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,23,M_Y_day5_anticipated_affect,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,24,M_Y_day6_fourSC_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,25,M_Y_day6_fourSC_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,26,M_Y_day6_anticipated_affect,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,27,M_E_day1_pageview_morning,0.03540714459069795,0.0008869836273941462,290,-0.0016008369541811278,0.07650596947547227,0.95,0.019409919775804314
3,2,1,28,M_E_day1_pageview_afternoon,-0.03575139555194856,0.0008869836273941462,290,-0.09042189438384908,0.014697176775433822,0.95,0.027104441210446674
3,2,1,29,M_E_day1_morning_fitbit_wear,-0.017337704983496093,0.0008869836273941462,290,-0.08523233771316144,0.11153031488295839,0.95,0.049133548887138
3,2,1,30,M_E_day1_daily_survey_complete,0.013496530293467299,0.0008869836273941462,290,-0.06589590681320781,0.1022831290135829,0.95,0.041543316180865986
3,2,1,31,M_E_day2_pageview_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,32,M_E_day2_pageview_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,33,M_E_day2_morning_fitbit_wear,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,34,M_E_day2_daily_survey_complete,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,35,M_E_day3_pageview_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,36,M_E_day3_pageview_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,37,M_E_day3_morning_fitbit_wear,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,38,M_E_day3_daily_survey_complete,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,39,M_E_day4_pageview_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,40,M_E_day4_pageview_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,41,M_E_day4_morning_fitbit_wear,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
